code,name,tag
005930,삼성전자,core43
000660,SK하이닉스,core43
009150,삼성전기,core43
018260,삼성에스디에스,core43
066570,LG전자,core43
373220,LG에너지솔루션,core43
006400,삼성SDI,core43
247540,에코프로비엠,core43
086520,에코프로,core43
051910,LG화학,core43
010130,고려아연,core43
005490,POSCO홀딩스,core43
035420,NAVER,core43
035720,카카오,core43
259960,크래프톤,core43
036570,엔씨소프트,core43
251270,넷마블,core43
263750,펄어비스,core43
293490,카카오게임즈,core43
041510,에스엠,core43
035900,JYP,core43
005380,현대차,core43
000270,기아,core43
012330,현대모비스,core43
207940,삼성바이오로직스,core43
068270,셀트리온,core43
196170,알테오젠,core43
028300,HLB,core43
105560,KB금융,core43
055550,신한지주,core43
086790,하나금융지주,core43
032830,삼성생명,core43
000810,삼성화재,core43
028260,삼성물산,core43
003550,LG,core43
034730,SK,core43
017670,SK텔레콤,core43
030200,KT,core43
015760,한국전력,core43
096770,SK이노베이션,core43
010950,S-Oil,core43
011200,HMM,core43
090430,아모레퍼시픽,core43
033780,KT&G,대형
323410,카카오뱅크,과거대형_2021
377300,카카오페이,과거대형_2021
302440,SK바이오사이언스,과거대형_2021
326030,SK바이오팜,대형
402340,SK스퀘어,대형_AI반도체
034020,두산에너빌리티,대형_원전
000150,두산,대형
012450,한화에어로스페이스,대형_방산
042660,한화오션,대형_조선
009540,HD한국조선해양,대형_조선
329180,HD현대중공업,대형_조선
010140,삼성중공업,대형_조선
064350,현대로템,대형_방산
047810,한국항공우주,대형_방산
079550,LIG넥스원,대형_방산
272210,한화시스템,대형_방산
267250,HD현대,대형
086280,현대글로비스,대형
011070,LG이노텍,대형
051900,LG생활건강,과거대형_2021
002790,아모레G,과거대형
097950,CJ제일제당,대형
271560,오리온,대형
139480,이마트,과거대형
023530,롯데쇼핑,과거대형
011170,롯데케미칼,과거대형_2021
003670,포스코퓨처엠,과거대형_2차전지
047050,포스코인터내셔널,대형
004020,현대제철,대형
016360,삼성증권,금융
006800,미래에셋증권,금융
039490,키움증권,금융
071050,한국금융지주,금융
005940,NH투자증권,금융
316140,우리금융지주,금융
138040,메리츠금융지주,금융
024110,기업은행,금융
005830,DB손해보험,금융
088350,한화생명,금융
000880,한화,대형
009830,한화솔루션,과거대형_2021
034220,LG디스플레이,과거대형_2021
032640,LG유플러스,대형
018880,한온시스템,과거대형
011210,현대위아,대형
161390,한국타이어앤테크놀로지,대형
003490,대한항공,대형
036460,한국가스공사,대형
052690,한전기술,원전
051600,한전KPS,원전
298040,효성중공업,전력기기
267260,HD현대일렉트릭,전력기기
010120,LS일렉트릭,전력기기
006260,LS,전력기기
103140,풍산,방산
042700,한미반도체,AI반도체
007660,이수페타시스,AI반도체
000990,DB하이텍,반도체
058470,리노공업,반도체
403870,HPSP,반도체
357780,솔브레인,반도체
005290,동진쎄미켐,반도체
039030,이오테크닉스,반도체
240810,원익IPS,반도체
112610,씨에스윈드,과거대형_풍력
361610,SK아이이테크놀로지,과거대형_2021
066970,엘앤에프,과거대형_2차전지
001570,금양,과거_2차전지테마
348370,엔켐,2차전지
450080,에코프로머티,2차전지
383310,에코프로에이치엔,2차전지
005070,코스모신소재,2차전지테마
121600,나노신소재,2차전지소재
000100,유한양행,바이오
128940,한미약품,바이오
006280,녹십자,바이오
069620,대웅제약,바이오
185750,종근당,바이오
145020,휴젤,바이오
214450,파마리서치,바이오
237690,에스티팜,바이오
141080,리가켐바이오,바이오
328130,루닛,바이오AI
137310,에스디바이오센서,과거대형_코로나
091990,셀트리온헬스케어,상폐2024_시도만
068760,셀트리온제약,바이오
352820,하이브,엔터
122870,와이지엔터테인먼트,엔터
035760,CJ ENM,과거대형
253450,스튜디오드래곤,과거_미디어
112040,위메이드,과거_게임코인
095660,네오위즈,게임
225570,넥슨게임즈,게임
277810,레인보우로보틱스,로봇
454910,두산로보틱스,로봇
241560,두산밥캣,대형
383220,F&F,과거대형_소비
007070,GS리테일,소비
282330,BGF리테일,소비
078930,GS,대형
001040,CJ,대형
035250,강원랜드,소비
008770,호텔신라,과거대형_소비
021240,코웨이,대형
010620,HD현대미포,조선
267270,HD현대건설기계,기계
